"","budget","revenue","title","overview","popularity","vote_count","release_date","status","runtime","production_companies","production_countries"
"41",1800000,0,"The Singer - Olavi Virta","Olavi Virta is a film about the all-time favourite singer in Finland. A man whose dreams were interrupted by war, a man who rose from poverty all the way to the top and became an artist that was dearly loved by the Finnish people. A man who performed both on stage and in films and who finally lost everything but his unique voice.",0.920097,0,"2018-10-05","In Production",NA,"Artista-Filmi, ",", , "
"42",0,0,"Serenity","The mysterious past of a fishing boat captain living in the Caribbean comes back to haunt him.",1.933566,0,"2018-09-27","Planned",NA,"IM Global, ","United States of America, "
"43",0,0,"Beyond the Rye","Bored with his simple life in Norway, Espen comes to California as a foreign exchange student seeking a deeper purpose in life. At his new high school, he joins the tennis team and quickly wins new friends, but finds himself making compromising choices in order to fit in. After his girlfriend cheats on him at a New Year's party, Espen considers an early return to Norway. He seeks guidance from his host parents and his English teacher, who convince him to stay and finish the school year. When his girlfriend apologizes and wants him back, he finds the strength to forgive her and rebuild his friendships in the remaining weeks of the exchange program. When he gets humiliated in front of his classmates at prom, Espen must dig deeper than ever before to find the truth of who he is, before his sense of humanity is shattered",2.222043,0,"2018-09-05","Post Production",102,"European Studios, ","Norway, United States of America, "
"44",0,0,"The Little Stranger","In a dusty post-war summer in rural Warwickshire, a doctor is called to a patient at lonely Hundreds Hall. Home to the Ayres family for over two centuries, the Georgian house is now in decline. But are the Ayreses haunted by something more sinister than a dying way of life?",3.313012,0,"2018-08-31","Post Production",NA,", , ",", , "
"45",0,0,"Happier times, Grump","The Grump decides that it's time to die, because everything is done and there's no meaning in life anymore. Just as his casket is finished, destiny brings new person in his life. His grandchild, Sofia, is in trouble and needs his grandfathers stubbornes, wisdom and the warmth of his fireplace. From the old grumps and young city girls two halves of life grows more than one whole.",0.519174,0,"2018-08-24","Released",NA,"Solar Films, ","Finland, "
"46",0,0,"A Lion Returns","Jamal has just returned to Australia after disappearing overseas for 18 months fighting in Syria. He's back in the country and wants to see his terminally ill mother, however he has to deal with his strong-minded older brother Omar, then his wife Heidi and their young son whom he left behind, but most importantly his unforgiving father. But why has Jamal really come back? Is he a militant with a cause or an easily led pawn in a bigger picture? A story about redemption, forgiveness and the consequences of your actions on loved ones and those you leave behind.",1.183445,0,"2018-08-10","Post Production",90,"Bonafide Pictures, ","Australia, "
"47",0,0,"Down a Dark Hall","Kitt Gordy, a new student at the exclusive Blackwood Boarding School, confronts the institution's supernatural occurrences and dark powers of its headmistress.",1.409255,0,"2018-08-03","Post Production",NA,", , ",", , "
"48",0,0,"Undertow","A photojournalist, grieving the loss of her stillborn child, is drawn into an obsessive relationship with a pregnant teenager.",0.914691,0,"2018-08-02","Post Production",90,"Emerald Productions, Melbourne International Film Festival, ","Australia, "
"49",0,0,"Acute Misfortune","The film adaptation of Erik Jensen's award-winning biography of Adam Cullen is the story of the biographer and his subject, as it descends into a dependent and abusive relationship.",1.124773,0,"2018-08-02","In Production",NA,"Arenamedia, Plot Media, Blackheath Film, Screen Australia, Film Victoria, Soundfirm, Melbourne International Film Festival, ","Australia, "
"50",0,0,"Almost Transparent Blue","On a bachelor party, Lucas, a withdrawn and shy man, evoques the last memory of his first love",0.313193,0,"2018-08-01","Post Production",29,", , ","Chile, "
"51",0,0,"The Confidence-Man","A filthy Con-Man stumbles into an old Balkan village where he tries to win the people by calling himself a doctor.",0.551781,0,"2018-08-01","Post Production",27,"Sarajevo Film Academy, ","Bosnia and Herzegovina, "
"52",15000,0,"Night Shadows","Just outside Belfast in 1974, a British soldier faces the realisation that he can't stand by and let his superior officers treat the public in a violent and disrespectful manner. Whilst on duty at a roadblock, the consequences of his actions will have a devastating effect on those around him.",0.548761,0,"2018-07-14","Post Production",NA,", , ","Ireland, United Kingdom, "
"53",0,0,"The Story of Jonah — A Lesson in Courage and Mercy","",0.532719,0,"2018-07-10","Post Production",NA,", , ",", , "
"54",0,0,"Angelo","The true story of Angelo Soliman, a Nigerian born in the 18th century and taken by force from his homeland at the age of 10. After surviving to the long journey across the Atlantic, the young boy is sold to a European countess and turns into the object of an educational experiment. A few years later, Angelo moves up closer to the Monarch, becoming a costumed story-telling valet, reciting stories about Africa to entertain the enlightened high-society, where he meets a young courtesan. While falling in love, Angelo inevitably suffers the rejection from the court that draws the line between the racial differences.",1.950677,0,"2018-07-01","Post Production",NA,"Novotny & Novotny Filmproduktion, Amour Fou Luxembourg, ","Luxembourg, Austria, "
"55",0,0,"Two for Joy","Coming of age drama following a daughter, her mother and her wayward younger brother as their relationship reaches critical mass.",0.000148,0,"2018-06-23","Released",86,"Blonde to Black Pictures, ","United Kingdom, "
"56",0,0,"The Devil Outside","Robert Eastwood is an innocent, brought up in a world of Born Again Christianity that's taught him to look for signs and to believe evil in waiting just outside the front door. When he goes to school he's shocked to discover that no one else thinks the world was made in 7 days or that Jesus will be returning. Caught between his Mother, who's determined to bring Jesus' love to a dead mining town, and his best friend Marcus who's introduced him to teenage rebellion Robert becomes the centre of a spiritual tug of war as he tries to escape his religious beliefs. It's then that he discovers a dead body in the woods and realises God has sent him a sign. The Devil Outside is a story of everyday madness.",1e-06,0,"2018-06-22","Released",103,"The Jokers, Ipso Facto Productions, Head Gear Films, ","United Kingdom, "
"57",0,0,"Love Sonia","Inspired by a real story of young girl's journey escape from the world of international sex trafficking.",2.256895,0,"2018-06-21","Post Production",120,"India Take One Productions, ","United States of America, India, "
"58",0,0,"Eaten by Lions","Omar and Pete are half brothers. When their parents are eaten by lions they embark on a journey to find Omar's real father. What follows is a funny, heart-warming journey of self-discovery for both boys...in Blackpool. The Choudray family represents a truly contemporary example of modern multicultural Britain - but what will the brothers make of their eccentric newfound family? Will they be going to Mecca or Mecca bingo? In contrast to the old fashioned stereotypes about Blackpool, the comedy is sharp, current and non-stop.",1.634,0,"2018-06-21","Post Production",94,"Mecca Films, ","United Kingdom, "
"59",0,0,"The Delta Girl","Seventeen year old Magnolia is torn between right and wrong at the height of the Civil Rights movement in 1964 Mississippi. Her views are challenged by her best friend Delilah, who hides a dangerous secret.",0.788591,0,"2018-06-20","In Production",NA,"American Film Institute (AFI), ","United States of America, "
"60",0,0,"A Man is Dead","Brest, 1950. The war ended five years ago and nothing remains of the city. Massive bombings and intense fighting lasting more than a month turned the city, its docks, its arsenal, into ashes. Thousands of workers will build it up again, brick by brick. But with awful work conditions protests quickly arise and a strike begins. Violent confrontations happen during manifestations. Until one man falls.  The next day René Vautier lands at Brest clandestinely to make a movie about the movement.",0.000157,0,"2018-06-11","Released",66,", , ","France, "
"61",0,0,"Chocolate Oyster","Australian experimental, observational comedy about young people in Sydney struggling to get ahead in love and their careers.",0.030253,0,"2018-06-10","Released",75,"The Steve Jaggi Company, ",", , "
"62",0,0,"Core of the World","Egor is a vet at a training facility for hunting dogs in a remote region of the country. Surrounded by foxes, deer, badgers, and dogs, he lives in a small building next to the house of the facility’s owner. He treats the dogs, cleans the kennels, oversees the workers, and meets with clients and their dogs. It’s easier for him to get along with dogs than with people. Egor is willing to take on any job to get closer to the facility’s owner and his near and dear. He wants the impossible — to become a member of that family.",2.732869,0,"2018-09-27","Released",120,"Just A Moment, CTB Film Company, ","Lithuania, Russia, "
"63",0,0,"Tutor","The 17-year-old Savva is getting ready to enrol at university. His parents go on vacation, conferring the responsibility for preparing the entrance exams onto the son. Savva finds a foreign literature teacher on the Internet site “Your Tutor”.",1.330825,0,"2018-06-09","Released",85,"<U+041C><U+0430><U+0440><U+043C><U+043E><U+0442>-<U+0444><U+0438><U+043B><U+044C><U+043C>, ","Russia, "
"64",0,0,"In the Hood","Vova and his best friend Kisa make ends meet by working for the local thug in Vladivostock, Russia until one assignment forces them to question their own morality and puts their friendship to the ultimate test.",0.234064,0,"2018-09-27","Released",97,"DK Entertainment, <U+041C><U+0430><U+0440><U+0441> <U+041C><U+0435><U+0434><U+0438><U+0430> <U+042D><U+043D><U+0442><U+0435><U+0440><U+0442><U+0435><U+0439><U+043D><U+043C><U+0435><U+043D><U+0442>, ","Russia, "
"65",0,0,"The Story Of An Appointment","The shrill and tragic story about an event that involved Count Lev Nikolaevich Tolstoy. In an infantry regiment of the military based in the Tula region an offence occurs. In this regiment, the capital’s lieutenant Grigory Kolokoltsev — inspired by progressive ideas — does his service. A military tribunal and execution await the soldier charged with the offence. Kolokoltsev asks Count Tolstoy for help — and he decides to protect the innocent man. The pointed history about the complexity of choice and fidelity to one’s ideals is based on real events.",1.617878,0,"2018-09-06","Released",112,"Algous studio, <U+0421><U+0442><U+0443><U+0434><U+0438><U+044F> <U+0413><U+043B><U+043E><U+0431><U+0443><U+0441>, CTB Film Company, ","Russia, "
"66",300,0,"Conference Call","Jack and Judy are two students at the University Of Toronto. Jack is a filmmaker in his masters, with great potential but poor execution skills, while Judy is an overachieving but highly insecure literature student, in her last year of a PhD. They are brought together by a conference, which Judy is presenting at, and Jack is filming. We follow the ups and downs of their ensuing relationship, as they both learn more about each other and themselves through the process.",1.473842,0,"2018-06-08","In Production",85,"Act IIII Productions, Ellis & Ellis Pictures, Geminus Studios, ","Canada, "
"67",0,0,"Acid","They have been abandoned in a world adorned with concepts such as family, friendship, love, and opportunities. In search of answers to their questions, they devour themselves like a chemical substance that corrodes the world around, in order to eventually learn not to listen but to hear, not to look but to see. And to find their way.",0.282358,0,"2018-06-07","Released",98,"<U+041A><U+0438><U+043D><U+043E><U+043A><U+043E><U+043C><U+043F><U+0430><U+043D><U+0438><U+044F> «<U+0421><U+043B><U+043E><U+043D>», TRUEMEN Pictures, ","Russia, "
"68",0,0,"Pacific Angels","Ethan, a film student in the Pacific Northwest, finds himself reflecting on his family estrangement when he takes interest in claims of an alien abduction at a local beach.",2.025436,0,"2018-06-06","Released",NA,", , ",", , "
"69",0,0,"Russian Psycho","The film’s action happens in today’s Russia, in Moscow. A young man, Sviatoslav Ivanov, is in love with the young girl Asya and decides to marry her. By training he is a graphic designer, but Asya’s father is the managing director of a large Russian bank. Sviatoslav decides to start his own business and open a restaurant to create for Asya the living conditions she is accustomed to. A number of serious obstacles suddenly appear in the way of the young man and menace his life... He finds out that he has a secret ill-wisher who wants to ruin him and his business. The young man goes to the extreme, gradually untangling the secret plot... At the end of the story Sviatoslav manages to answer the question about his enemy...",0.000592,0,"2018-06-06","Released",98,", , ","Russia, "
"70",0,0,"Deep Rivers","The youngest son returns home to help his father and brothers meet the targets for a profitable order on cut wood. During his absence nothing has changed: the same back-breaking toil for the sake of a piece of bread, the same resistance from the neighbouring settlement, the same inability of the family members to express their love and understanding for their kin. And the river, which may rise at any time and wash away the parental home that stands on its banks.",0.227791,0,"2018-06-06","Released",75,"<U+041F><U+0440><U+0438><U+043C><U+0435><U+0440> <U+0438><U+043D><U+0442><U+043E><U+043D><U+0430><U+0446><U+0438><U+0438>, ","Russia, "
"71",1500000,0,"Twain","Having despaired to restore her health by traditional medicine, Nadia persuades her husband Andrei to hike to a radon lake in the hope of a cure. Andrei agrees. On the journey, away from Nadia’s harsh father, he plans to tell her that he wants to file for a divorce. But nature interferes with their plans. Because of the rain, the water in the river rises, blocking the ways home. In search for a crossing, Andrei and Nadia get lost in the depth of the Siberian taiga. And their difficult way of fighting with personal fears and correcting past mistakes begins. The forest becomes a metaphor for life, in which the two are lost. Or perhaps, it is that treasured garden whence those who have been expelled are able to return?",2.72755,0,"2018-06-05","Released",94,"<U+0410><U+0420><U+0422><U+041B><U+0410><U+0419><U+0422>, <U+0418><U+043D><U+0432><U+0430><U+0434><U+0430> <U+0444><U+0438><U+043B><U+044C><U+043C>, ","Russia, "
"72",0,0,"Van Goghs","Mark Ginzburg is a talented artist who is always depressed. He's 52, but personal and professional success has escaped him. Many years ago, Mark moved from his native Riga to Tel Aviv to get away from his oppressive father, Viktor, who still supports him financially. Victor Ginzburg is a famous conductor. His work is his life. He never cared about Mark's feelings and tried to mold his son in his own image. Their highs and lows turned long ago into a love-hate relationship. More hate than love. Father calls his son by his childhood nickname Birdie, which infuriates the son. Son calls his father Your Majesty, which infuriates the father. After Viktor is diagnosed with a fatal illness, the father and son set off on a difficult journey that leads from hate to love.",0.011509,0,"2018-06-05","Released",103,"<U+041B><U+0435><U+043E><U+043F><U+043E><U+043B><U+0438><U+0441>, ","Latvia, Russia, "
"73",0,0,"Temporary Difficulties","Sasha Korolev has a congenital disorder. The boy’s father has chosen what seemed to him the only correct way to put the son on his feet: to treat him like a healthy person. “You’re not a patient, you have temporary difficulties”. Eating, getting dressed, going downstairs and walking up the front door steps — every day the child spends hours on such simple household tasks. At school he is mocked by his peers, and there is no help to expect.  The boy has coped with the illness, but started hating the father. When he finished school, Sasha left home and stopped all contact with the father. Over the past 15 years he has become the best business consultant in the country, who has helped hundreds of businesses out of crisis. “You have no a crisis, you have temporary difficulties”, — Sasha would say to his clients, having gone along a difficult path himself. And one day, a new order unexpectedly gives him the opportunity to settle accounts with the father...",1.810098,0,"2018-10-11","Released",83,"Enjoy Movies, ","Russia, "
"74",0,0,"Where Life Is Born","Set in a traditional world of bullfighting ranches in the Mexican state of Tlaxcala, “Where Life is Born” tells the story of Juan and Ester, a couple who have an open relationship, and the problems that arise when Ester falls in love with another man and Juan struggles to meet the expectations he has of himself.",2.928499,0,"2018-05-31","Post Production",NA,", , ","Mexico, "
"75",0,0,"Last Night","A seemingly happy same-sex couple sees their lives change overnight when the news of cancer’s return is no longer a secret.",6.650801,1,"2018-05-25","Planned",NA,"Pingvin Productions, ","United States of America, "
"76",5000,0,"Neapolitan","In 2002, an introverted young man falls in love on a beta-test dating site only for the young woman to abruptly stop talking to him. He sets to find out why.",2,0,"2018-05-24","Released",37,"Shoot The J Productions, ","United States of America, "
"77",9900000,0,"Sunset","Set in Budapest in 1913, when the city was considered to be at the heart of Europe. The drama follows 20-year-old Irisz Leiter, who arrives in the Hungarian capital after spending her younger years in an orphanage, hoping to work as a milliner in the legendary hat store that belonged to her late parents. She is suddenly confronted with her past and starts searching for answers about her family before stumbling upon dark secrets.",6.177669,0,"2018-05-20","In Production",NA,", , ","France, Hungary, "
"78",0,0,"Girl","A 15-year-old girl, born in a boy’s body, dreams of becoming a ballerina and will push her body to its limits in order for her dream to succeed.",5.076135,1,"2018-05-18","Post Production",100,"Menuet, Frakas Productions, Topkapi Films, ","Belgium, "
"79",0,0,"The Wild Pear Tree","An aspiring writer returns to his native village in rural Turkey, where he becomes overwhelmed by his father's debts.",1.53816,0,"2018-08-15","Post Production",188,"Zeynofilm, Memento Films Production, ","Bosnia and Herzegovina, Bulgaria, France, Germany, Macedonia, Sweden, Turkey, "
"80",0,0,"Ayka","A young Asian immigrant worker in Moscow tried to track down her baby, whom she abandoned at the hospital.",5.644269,0,"2018-05-18","Released",100,", , ","China, Germany, Kazakhstan, Poland, Russia, "
"81",4000000,0,"Capernaum","Set in Capernaum, a rebellious youth wishes to sue his parents for having him.",5.037646,0,"2018-05-17","Released",150,"Boo Pictures, Mooz Films, ","France, Lebanon, United States of America, "
"82",0,0,"Knife + Heart","A late-70s-set story about a Parisian TV executive seeking to restore her credibility with a more creatively ambitious production, which was disrupted when the cast was targeted by a serial killer.",2.838571,1,"2018-06-27","Released",110,"CG Cinéma, ","France, "
"83",0,0,"Dogman","A revenge drama set on Rome’s crime-ridden outskirts, inspired by a homicide committed by a coked-out dog groomer during the late 1980s.",18.637701,61,"2018-05-17","Released",120,"Rai Cinema, Archimede, Le Pacte, ","France, Italy, "
"84",0,0,"Burning","Deliveryman Jongsu is out on a job when he runs into Haemi, a girl who once lived in his neighborhood. She asks if he'd mind looking after her cat while she's away on a trip to Africa. On her return she introduces to Jongsu an enigmatic young man named Ben, who she met during her trip. And one day Ben tells Jongsu about his most unusual hobby...",0.006359,1,"2018-05-17","Released",148,"Bom Film Productions Co., Ltd., PinehouseFilm, NOWFILM, CGV Arthouse, NHK, ","South Korea, "
