"","budget","revenue","title","overview","popularity","vote_count","release_date","status"
"32",0,0,"Stain","Reeling from loss a young woman finds solace in her nurse.",0.149656,0,"2018-01-05","Released"
"33",1500000,0,"The Violin Player","A celebrated violin player, Karin, has to end her stellar career after a car accident makes her fingers stop working their magic. She starts teaching students who are twenty years younger than her, only to find herself falling in love with Antti, one of her students. They are not an easy match, both being passionate about the music and overly ambitious about their careers.",2.997429,0,"2018-06-21","Released"
"34",0,0,"Absence","A love triangle between a pioneer female writer; her husband -a retired military official-and the love of her life, the painter Moritz Rugendas, with whom she maintains an epistolary relationship for 10 years, with few personal encounters.",2.15187,0,"2018-05-10","Released"
"35",0,0,"<U+0418><U+0432><U+0430><U+043D><U+044B>, <U+043F><U+043E><U+043C><U+043D><U+044F><U+0449><U+0438><U+0435> <U+0440><U+043E><U+0434><U+0441><U+0442><U+0432><U+043E>","",0.127339,0,"2017-12-12","Released"
"36",35000000,34283740,"Phantom Thread","In the glamour of 1950s post-war London, renowned dressmaker Reynolds Woodcock and his sister Cyril are at the center of British fashion. Women come and go through Woodcock’s life, providing the confirmed bachelor with inspiration and companionship, until he comes across a young, strong-willed woman, Alma, who soon becomes a fixture in his life as his muse and lover. Once controlled and planned, he finds his carefully tailored life disrupted by love.",21.136101,811,"2017-12-25","Released"
"37",0,0,"A Royal Christmas Ball","Dateless for the Christmas ball, 39-year-old bachelor, King Charles of Baltania, tracks down his American college sweetheart, only to discover Allison has never been married, yet raised a 17-year-old daughter, Lily, who mathematically might be Charles' biological princess.",3.255815,5,"2017-12-10","Released"
"38",0,0,"Runaway Christmas Bride","A runaway bride, Kate, making herself scarce for the holidays, meets a ski patrol rescuer, Jason, at a resort. Her December days begin to brighten, until her parents and jilted fiancé, Alex, show up at the mountain to reset the wedding for Christmas.",2.551532,1,"2017-12-09","Released"
"39",0,0,"Unexpectedly Yours","Two former high school friends Patty and Cocoy find each other thirty years later not only as organizers of their high school reunion but also as neighbors. Patty and her daughter Yanni's quiet lives are shaken up when Cocoy and his nephew Jason comes knocking on their door.",2.60318,5,"2017-12-08","Released"
"40",0,0,"Drawing Home","Boston in the 1920s. A young East Coast debutante is dating the most eligible bachelor in the world, John D. Rockefeller III. Her future seems set: a dream life in the upper echelons of society. But when she least expects it, she meets a young painter from one of the most beautiful places on Earth, the Canadian Rocky Mountains. Their worlds are polar opposites. As their attraction turns their lives upside down, they soon face a universal question: Can you find ""home"" in another person?",0.831228,0,"2017-12-01","In Production"
"41",0,0,"All Together","",0.1198,0,"2017-12-01","Released"
"42",0,0,"Ride Sally Ride","A few months after their breakup, Alice and Samuel meet at a diner's parking lot to return the last of their belongings. An unexpected confession disrupts their tense reunion. Between rekindled love and the ghosts from the past, where will this night lead them?",1.916812,0,"2017-12-01","Released"
"43",0,0,"An Accidental Zombie (Named Ted)","Ted is not a zombie. Just ask him. Sure, he picked up a ""skin thing"" on his vacay in The Caribbean, and he's hungering for brains, but who isn't? Anyway, things are bound to get better when Ted inherits his grandpa's fortune; all he's gotta do is wait for the old man to die. In the meantime, in case things weren't strange enough, Ted follows a hot vampire into group therapy where the patients all suffer disorders of the paranormal. Yep. Things just went from weird to wacky.",2.432185,0,"2017-11-30","Post Production"
"44",0,0,"Cromossomo 21","Vitória  is a girl with Down Syndrome who takes life as any young person of her age. Between swimming lessons, piano and college, she meets Afonso and the passion is instantaneous. The two will start a love story that no difference can shake.",0.125286,0,"2017-11-30","Released"
"45",0,0,"Pinjamkan Hatiku","",2.776573,0,"2017-11-30","Released"
"46",0,0,"The Marriage","Bekim and Anita are getting married, but Anita is unaware that Bekim is still in love with his best friend Nol.",0.248924,0,"2017-11-28","Released"
