"","budget","revenue","title","overview","popularity","vote_count","release_date","status","runtime","production_companies","production_countries"
"11",0,0,"Outlaw King","An epic period drama that will tell a different version than Braveheart did on Robert The Bruce, the king who led his country to freedom from the oppressive rule of England in Scotland.",0.690383,1,"2018-11-23","In Production",NA,"Anonymous Content, Sigma Films, ","United Kingdom, "
"12",0,0,"Mile 22","A CIA field officer and an Indonesian police officer are forced to work together in confronting political corruption. An informant must be moved twenty-two miles to safety.",2.604869,0,"2018-08-10","Post Production",NA,"STX Entertainment, Closest to the Hole Productions, Film 44, The Hideaway Entertainment, ","United States of America, "
"13",0,0,"Cranium Intel II: Magnetic Contamination","The sequel to the sci-trilogy based on the Military Execution Saga novel series.",0.52986,0,"2018-07-04","Released",180,", , ",", , "
"14",0,0,"Kung Fury II: The Movie","",1.152379,0,"2018-07-01","Planned",NA,"Lampray, Laser Unicorns, ","Sweden, United States of America, "
"15",0,0,"Chuck Steel: Night of the Trampires","It's not 1985 anymore...it's 1986, and Chuck Steel is 'the best God damn cop on the force' according to his long suffering boss, Captain Jack Schitt. But even this maverick, renegade, loose cannon, lone wolf, cop on the edge, who doesn't play by the rules has his work cut out when the Governor of LA decides to reduce the licensing hours for clubs and bars triggering a sudden, inexplicable spate of high profile disappearances in the city. The disappearances all have the same thing in common, a crime scene covered in blood but with no sign of the victim. The police are perplexed until they get a break in the case when one of the victims manages to escape. Chuck goes to interview the victim at the hospital but is confronted by a crazed old man who introduces himself as Abraham Van Rental. He warns a disbelieving Chuck that an evil scourge is about to descend on the city of Los Angeles - the scourge of the TRAMPIRES - a mutated hybrid of vampire and tramp.",3.242714,0,"2018-06-16","Post Production",NA,", , ",", , "
"16",0,0,"Occupation","A small group of town residents have to band together after a devastating ground invasion. As they struggle to survive, they realize they must stay one step ahead of their attackers, and work together for a chance to strike back.",13.151974,0,"2018-05-25","Post Production",NA,"Pinnacle Film, ","Australia, "
"17",0,0,"Ocean's 8","Debbie Ocean, a criminal mastermind, gathers a crew of seven other female thieves to pull off the heist of the century at New York's annual Met Gala.",15.666807,0,"2018-06-07","Post Production",120,"Village Roadshow Pictures, Smokehouse Pictures, Warner Bros. Pictures, Larger Than Life Productions, Rahway Road Productions, ","United States of America, "
"18",110000000,301336221,"Deadpool 2","Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life.",353.810408,925,"2018-05-15","Released",119,"Genre Films, Simon Kinberg Productions, The Donners' Company, Maximum Effort, Marvel Entertainment, 20th Century Fox, ","Canada, United States of America, "
"19",0,0,"Solo: A Star Wars Story","Through a series of daring escapades deep within a dark and dangerous criminal underworld, Han Solo meets his mighty future copilot Chewbacca and encounters the notorious gambler Lando Calrissian.",68.64972,42,"2018-05-23","Released",135,"Lucasfilm, Walt Disney Pictures, Allison Shearmur Productions, Imagine Entertainment, ","United States of America, "
"20",0,0,"The Mystery of Burma: Beyond the Dote-Hta-Waddy","",1.451396,0,"2018-05-04","Released",NA,"Golden Hour Entertainment, Arkar Production, ","Myanmar, "
"21",300000000,1820052471,"Avengers: Infinity War","As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",483.692239,3893,"2018-04-25","Released",149,"Walt Disney Pictures, Marvel Studios, ","United States of America, "
"22",0,0,"BRONER VS. VARGAS","Four-division world champion Adrien ""The Problem"" Broner (33-3, 24 KOs) returns to the ring to face all-action brawler Jessie ""The Pride of Las Vegas"" Vargas (28-2, 10 KOs). Plus, undefeated champ Jermall Charlo (26-0, 20 KOs) takes on contender Hugo Centeno Jr. (26-1, 14 KOs) in a 160-pound showdown and knockout artist Gervonta Davis (19-0, 18 KOs) squares off with Jesus Cuellar (28-2, 21 KOs) in a quest for the super featherweight title. Live from Brooklyn's Barclays Center.",0.98637,0,"2018-04-21","Released",45,"Showtime Sports, ",", , "
"23",150,0,"Bro Night","Bro Night follows the story of three bros who during their weekly Bro Night get a mysterious phone call that will change their lives forever.",1.554693,2,"2018-04-20","Post Production",16,"Freetage Films, Bicameral Productions, Mrcrazynessdude, TheBiggBoyyss, ","United States of America, "
"24",0,0,"Interstellar Civil War: Shadows of the Empire","The Imperial Empire is attacked by an Alliance of rebels led by fanatical mystics. The ruler, Empress Nobu, the 8th generation of her family, wants to execute a bold plan to rescue a cyborg, Leah C6, trapped on the battle ravaged planet Endor. The Empress believes Leah C6 holds the secret to destroying the Alliance of Rebels before their insurgency can kill millions of citizens of the Empire. She recruits her heroic fleet commander, Lord General Luka Raan and asks him to gather a team from the Empire's elite soldiers, the Galactic Rangers. Raan assembles the team in the ruins of Endor which was attacked by depraved Rebels and outlaws led by, Kindo-Ker, a fanatical mystic in Dark Energy. The Galactic Rangers begin a desperate search to find and rescue Leah C6 before the Alliance Rebels can.",0.148102,1,"2018-04-15","Released",NA,", , ","United States of America, "
"25",0,0,"La Noche Que No Se Repite","A small rural town is the center of multiple parallel stories that intertwine the fate of several different characters across a single night. Some of them are: Juan Manuel y Esteban, two bored teenagers competing for the love of a French exchange student who decide to play a prank to ""Fat Pablo"", a naive pizza delivery boy that is mistaken as a delinquent by Olveira y Sandro. These two arrive to town to assault a corrupt ranch owner, a coup planned by ""El Tranquera"", a small-time dealer. Either chance or destiny make of this fateful night a turning point in the lives of the characters.",0.50948,0,"2018-04-12","Released",71,"Jamal, ",", , "
"26",24625000,0,"Taxi 5","A police officer who's transfered in the police of Marseille gets assigned to take down a group of Italian robbers who drive the powerfull Ferrari's with the older niece of Daniel, a terrible driver who gets the legendary white taxi.",12.215105,103,"2018-04-11","Released",NA,"ARP Sélection, Europa Corp., ","France, "
"27",150000000,288284735,"Pacific Rim: Uprising","It has been ten years since The Battle of the Breach and the oceans are still, but restless. Vindicated by the victory at the Breach, the Jaeger program has evolved into the most powerful global defense force in human history. The PPDC now calls upon the best and brightest to rise up and become the next generation of heroes when the Kaiju threat returns.",51.247339,713,"2018-03-21","Released",111,"Legendary Entertainment, Double Dare You Productions, UpperRoom Productions, ","China, United Kingdom, United States of America, "
