"","budget","revenue","title","overview","popularity","vote_count","release_date","status","runtime","production_companies","production_countries"
"38",0,0,"Hollow in the Land","With their father in prison for murder, siblings Alison and Brandon are instantly considered suspects when a string of killings plagues their town, and they must fight to clear their names.",4.796755,17,"2017-12-08","Released",92,"Narrative Capital, ","Canada, "
"39",0,0,"24 Hours to Live","An assassin seeks redemption after being given a second chance at life.",14.933942,122,"2017-10-26","Released",94,"Film Afrika Worldwide, Thunder Road Pictures, Fundamental Films, ","United States of America, South Africa, China, "
"40",10000000,102952888,"Jigsaw","Dead bodies begin to turn up all over the city, each meeting their demise in a variety of grisly ways. All investigations begin to point the finger at deceased killer John Kramer.",23.798244,1120,"2017-10-25","Released",92,"Twisted Pictures, A Bigger Boat, Serendipity Productions, ","United States of America, "
"41",0,0,"Shadow Animals","A young girl follows her parents to a party where she experiences assorted grown-up rituals. As the evening progresses she finds the adults' behavior increasingly strange. Everyone tries to fit in, but not everyone succeeds.",1.673817,2,"2017-10-18","Released",22,"Garagefilm International, ","Sweden, "
"42",0,0,"The Bold, the Corrupt and the Beautiful","Madame Tang colludes and mediates between the government and the private businesses for the benefits of her all-female family. One case does not go according to plan, and an entire family close to Madame Tang fall victim to a gruesome murder. Ambition, desire and lust eventually change Tang's relationships with her own family forever.",2.21046,12,"2017-11-24","Released",112,"Atom Cinema, ","Taiwan, "
"43",0,8569623,"Fate/stay night: Heaven's Feel I. presage flower","Emiya Shirou is a young magus who attends Homurahara Academy in Fuyuki City. One day after cleaning the Archery Dojo in his school, he catches a glimpse of a fight between superhuman beings, and he gets involved in the Holy Grail War, a ritual where magi called Masters fight each other with their Servants to win the Holy Grail. Shirou joins the battle to stop an evildoer from winning the Grail and to save innocent people, but everything goes wrong when a mysterious ""Shadow"" begins to indiscriminately kill people in Fuyuki...  (Source: ANN)",7.44863,13,"2017-10-14","Released",120,"Aniplex, ufotable, TYPE-MOON, ","Japan, "
"44",0,0,"The Lightest Darkness","When a neurotic private eye who struggles to finish the case takes a train voyage, his own dark secrets begin to reveal themselves.",2.450661,0,"2017-10-14","Released",83,", , ",", , "
"45",0,0,"Glass Garden","Despite her disabled leg, the Ph.D. student Jae-yeon is a brilliant researcher with a rare ability to communicate with nature. Having been hurt by her hypocrite colleague and lover, she turns her back to the world and goes deep into the forest to live alone in a glass garden.",0.207337,0,"2017-10-25","Released",117,"<U+C900><U+D544><U+B984>, ","South Korea, "
"46",0,0,"The Playground","A fable of five vastly separate inner-city lives who struggle against their limitations in an interlocking tale assembled by a dark orchestrator.",0.186817,0,"2017-10-12","Post Production",151,"SplitWorld Pictures, ","United States of America, "
"47",0,0,"Santa Ana","They say that a certain wind from California makes people irritable. Halfway between documentary and experimental film, Santa Ana explores the relationship between this phenomenon and Evil.",0.145814,1,"2017-10-10","Released",9,", , ","Spain, "
"48",0,0,"Bad Blood","Carrie, an attractive veterinarian accepts an invitation from her fiancee, a best-selling author, for a long weekend away. When she senses something is terribly wrong she decides to leave only to find herself trying to escape the house into a desolate forest fearing for her life and fighting against a psychopathic killer.",0.089625,0,"2017-10-08","Released",90,", , ","Australia, "
"49",4800000,122637878,"Happy Death Day","A college student relives the day of her murder over and over again as she tries to discover her killer's identity.",19.534104,1622,"2017-10-12","Released",96,"Vesuvius Productions, Blumhouse Productions, Digital Riot Media, ","United States of America, "
"50",0,0,"They Remain","Two scientists investigate the root of environmental changes and strange animal behavior at a remote site where a cult committed atrocities. The isolated location, the unraveling of their relationship, and the biome itself begin to lead them down a path of doom where primeval forces threaten to consume them.  An adaptation of Laird Barron's short story ""–30–"".",2.820369,0,"2018-03-02","Post Production",102,"Family Ranch, Reno Productions, ","United States of America, "
"51",0,0,"Les paris de Vincent C","",0.129894,0,"2017-10-04","Released",NA,", , ","France, "
"52",150000000,259239658,"Blade Runner 2049","Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years.",54.290143,4369,"2017-10-04","Released",163,"Torridon Films, 16:14 Entertainment, Scott Free Productions, Columbia Pictures, Alcon Entertainment, Thunderbird Entertainment, Sony Pictures, ","United States of America, "
