"","budget","revenue","title","overview","popularity","vote_count","release_date","status","runtime","production_companies","production_countries"
"43",0,0,"I'm Not Dead Yet","Documentary about the inheritance of a Gothic home and a family's unspoken past.  78-year-old Ruth has promised her beloved estate to one of her twin daughters, with whom she has lived for the past 35 years. As tensions mount, Ruth flees to France into the arms of her other, estranged daughter.  Ruth's granddaughter Elizabeth documents the struggle, unaware of the dark secrets that lie within the house's walls, as Ruth's turbulent journey sees the unravelling of a family consumed by the legacy of silence and denial. (Storyville)",0.006588,0,"2008-11-06","Released",70,"Passion Pictures, ","United Kingdom, "
"44",0,0,"Jerusalem Cuts","As part of a season marking the 60th anniversary of the founding of Israel, Liran Atzmor's film documents a battle that took place in the Old City of Jerusalem in 1948 from three points of view - photojournalist John Philips, whose pictures for Life magazine depicted the Jews being evacuated from the Old City; Jack Padwa, the producer of a feature film which tells the story from a Jewish British perspective; and photographer Ali Zaarour, who tells the story from the Palestinian viewpoint. (Storyville)",0.004985,0,"2008-04-01","Released",52,"First Hand Films, Belfilms, ","Switzerland, Israel, "
"45",0,0,"Between 11 and 12","A common day in Stockholm some people face major changes. The owner of a fur shop meets an animal rights activist. A priest has restrictions on Saint Lucy's Day. An old woman evicts and a young man disappoints his father.",0.014098,0,"2008-01-26","Released",50,", , ","Sweden, "
"46",0,0,"Die Frau vom Checkpoint Charlie","Based on a true story, Miguel Alexandre's two-part drama focuses on an East German woman and the fight for her children. Spring 1982: Sara Bender, living with her daughters Silvia and Sabine in the East German town of Erfurt, wants to marry her colleague Peter, but shortly before the wedding, her father is killed in a road accident. As the funeral takes place in West Germany, she isn't allowed to got there, so she starts planning to leave her communist home country forever. Trying to flee via Romania, she is caught by the secret service. After years in jail, Sara is ransomed by the West German government, but without her daughters. To draw the world's attention on her desperate situation, she starts demonstrating at the Berlin border crossing Checkpoint Charlie",0.399554,4,"2007-09-28","Released",181,"UFA Fernsehproduktion GmbH, ","Germany, "
"47",0,0,"Something Beneath","When a mysterious black slime oozes up from the plumbing to infiltrate a new conference center, it causes attendees at an environmental convention who come in contact with it to have horrific hallucinations and nightmarish visions of past tragedies. Environmentalist priest Father Douglas Middleton (Kevin Sorbo) must team up with conference coordinator Khali Spence (Natalie Brown) to stop the slime -- or die trying -- in this sci-fi thriller.",1.138528,7,"2007-10-21","Released",90,"Peace Arch Entertainment Group, Hallmark Entertainment, Buffalo Gal Pictures, Paquin Films, RHI Entertainment, Sci Fi Pictures, Movie Central Network, ","Canada, "
"48",0,0,"15 Miles On The Erie Canal (Part 2)","Highlighting the canal’s quiet beauty and fascinating people, Part 2 travels from the Genesee Waterways to Spencerport, Brockport, Holley, and Lockport– taking to the trails and the water, on everything from the historic Sam Patch tour boat to Luxury cabin cruisers. Dr. William Hullfish, a SUNY Brockport associate professor, musician and the expert in Erie Canal Songs.",0.04149,1,"2006-08-06","Released",50,"WXXI-TV, ","United States of America, "
"49",0,0,"15 Miles On The Erie Canal (Part 1)","The Erie Canal was an engineering marvel in its time and remains so today. This documentary travels from Palmyra to the Genesee River, stopping along the way to visit the people and places that make the canal so special. Canal historian Thomas Grasso offers insight into the canal’s past while the Golden Eagle String Band provides the music track.",0.082116,1,"2006-03-07","Released",60,"WXXI-TV, ","United States of America, "
"50",6000000,0,"House of the Dead 2","In Guesta Verde University, the deranged Professor Curien is trying to bring back the dead, killing students for the experiment. There is an outbreak of zombies in the campus, and the government sends a NSA medical research team, formed by Dr. Alexandra Morgan a.k.a. Nightingale and lieutenant Ellis, with a special force leaded by lieutenant Dalton, trying to get the zero sample from the first generation zombie. The team has a very short time to accomplish their mission and leave the place before missiles are sent to destroy the area. However, the place is crowded of hyper sapiens and the group has to fight to survive.",5.331494,39,"2006-02-11","Released",95,"Lions Gate Films, ","United States of America, "
"51",0,0,"Family Ties","Virtu and Ramon have tried to get children for a long time without success and Virtu begins to get tired of all the gynecological tests she is forced to go through. Finally, when it turns out that Ramon is sterile, Virtu suggests that they adopt, but Ramon wants a son of his own flesh and blood. As if the situation was not strained enough, Ramon's father appears after several years in prison and once again wants to become part of Ramon's life.",0.003769,0,"2005-10-10","Released",103,", , ","Spain, "
"52",0,0,"La nuit du meurtre","On a cold fall morning, Nathalie Castellane is found murdered near a swamp. The night before she was at the restaurant with Louis and Hélène, her rich parents, and Eric, her brother. There she had told them about her intention to marry Philippe Laclos, the manager of the Castellane group. When leaving the restaurant, Nathalie had looked very worried... After being notified of Nathalie's death, all the protagonists sink into silence. Which will not help police inspector Tourneur to establish the truth...",0.002559,0,"2004-09-25","Released",180,", , ","France, "
"53",0,0,"Spartacus","Sentenced to spend out the rest of his adult life laboring in the harsh deserts of Egypt, the Thracian slave Spartacus gets a new lease on life when he is purchased by the obese owner of a Roman gladiator school. Moved by the defiance of an Ethiopian warrior, Draba, Spartacus leads a slave uprising which threatens Rome's status quo. As Spartacus gains sympathy within the Roman Senate, he also makes a powerful enemy in form of Marcus Lucinius Crassus, who makes it a matter of personal honor to crush the rebellion.",3.240231,23,"2004-03-17","Released",174,"USA Cable Entertainment, Nimar Studios, ","United States of America, "
"54",0,0,"Smothered: The Censorship Struggles Of The Smothers Brothers Comedy Hour","The history of the irreverent ""The Smothers Brothers Comedy Hour"" and the content battles it fought with its television network.",0.004612,0,"2002-12-04","Released",1,"Muldaur Media, Ltd., ","United States of America, "
"55",0,0,"Francesco","",0.102086,2,"2002-10-05","Released",NA,"Taodue Film, ","Italy, "
"56",0,0,"Quest for the Ring","",0.061639,1,"2001-11-29","Released",NA,"Arden Entertainment, 20th Century Fox Television, ","United States of America, "
"57",0,0,"Sasquatch Odyssey: The Hunt for Bigfoot","The four grand old men of “Bigfoot Hunting” and their often humorous yet determined forty-year quest to find the Big Hairy legend of North America.",0.001247,0,"1999-10-15","Released",70,"Big Hairy Deal Films Inc., ","Canada, "
"58",0,0,"The Deathbus","A street collapses on a rainy day over a newly made tunnel for a future trainline and captures a bus full of passengers in a hole, slowly sinking into the mud.",0.021283,0,"2007-03-02","Released",90,", , ","Germany, "
