"","budget","revenue","title","overview","popularity","vote_count","release_date","status"
"62",20000000,5.3e+07,"Edward Scissorhands","A small suburban town receives a visit from a castaway unfinished science experiment named Edward.",11.395026,5216,"1990-12-05","Released"
"63",130000000,289047763,"Fantastic 4: Rise of the Silver Surfer","The Fantastic Four return to the big screen as a new and all powerful enemy threatens the Earth. The seemingly unstoppable 'Silver Surfer', but all is not what it seems and there are old and new enemies that pose a greater threat than the intrepid superheroes realize.",14.271936,3480,"2007-06-13","Released"
"64",70000000,240031094,"Die Hard 2","John McClane is an off-duty cop gripped with a feeling of déjà vu when on a snowy Christmas Eve in the nation's capital, terrorists seize a major international airport, holding thousands of holiday travelers hostage. Renegade military commandos led by a murderous rogue officer plot to rescue a drug lord from justice and are prepared for every contingency except one: McClane's smart-mouthed heroics.",13.848369,2348,"1990-07-02","Released"
"65",30000000,68369434,"The X Files: I Want to Believe","Six years after the events of The X-Files series finale, former FBI agent Doctor Dana Scully is now a staff physician at Our Lady of Sorrows, a Catholic hospital, and treating a boy named Christian who has Sandhoff disease, a terminal brain condition. FBI agent Drummy arrives to ask Scully’s help in locating Fox Mulder, the fugitive former head of the X-Files division, and says they will call off its manhunt for him if he will help investigate the disappearances of several women, including young FBI agent Monica Banan.  Mulder and Scully are called back to duty by the FBI when a former priest claims to be receiving psychic visions pertaining to a kidnapped agent.",13.152579,661,"2008-07-24","Released"
"66",135000000,368871007,"Home","When Earth is taken over by the overly-confident Boov, an alien race in search of a new place to call home, all humans are promptly relocated, while all Boov get busy reorganizing the planet. But when one resourceful girl, Tip, manages to avoid capture, she finds herself the accidental accomplice of a banished Boov named Oh. The two fugitives realize there’s a lot more at stake than intergalactic relations as they embark on the road trip of a lifetime.",12.19216,1841,"2015-03-18","Released"
"67",75000000,527068851,"The Simpsons Movie","After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",16.167865,3327,"2007-07-25","Released"
"68",18000000,151668774,"Big","A young boy, Josh Baskin makes a wish at a carnival machine to be big. He wakes up the following morning to find that it has been granted and his body has grown older overnight. But he is still the same 13-year-old boy inside. Now he must learn how to cope with the unfamiliar world of grown-ups including getting a job and having his first romantic encounter with a woman. What will he find out about this strange world?",12.748644,1336,"1988-06-03","Released"
"69",35000000,81967450,"Hitman: Agent 47","An assassin teams up with a woman to help her find her father and uncover the mysteries of her ancestry.",14.628455,1410,"2015-08-20","Released"
"70",70000000,171183863,"AVP: Alien vs. Predator","When scientists discover something in the Arctic that appears to be a buried Pyramid, they send a research team out to investigate. Little do they know that they are about to step into a hunting ground where Aliens are grown as sport for the Predator race.",12.554459,1635,"2004-08-12","Released"
"71",18000000,261572744,"Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan","Kazakh journalist Borat Sagdiyev travels to America to make a documentary. As he zigzags across the nation, Borat meets real people in real situations with hysterical consequences. His backwards behavior generates strong reactions around him exposing prejudices and hypocrisies in American culture.",9.250622,2069,"2006-11-01","Released"
"72",78000000,179265204,"The League of Extraordinary Gentlemen","To prevent a world war from breaking out, famous characters from Victorian literature band together to do battle against a cunning villain.",10.632652,1608,"2003-07-11","Released"
"73",25000000,133752825,"Hot Shots! Part Deux","Topper Harley is found to be working as an odd-job-man in a monastery. The CIA want him to lead a rescue mission into Iraq, to rescue the last rescue team, who went in to rescue the last rescue team who... who went in to rescue hostages left behind after Desert Storm.",11.237575,615,"1993-05-21","Released"
"74",100000000,362211740,"Planet of the Apes","After a spectacular crash-landing on an uncharted planet, brash astronaut Leo Davidson finds himself trapped in a savage world where talking apes dominate the human race. Desperate to find a way home, Leo must evade the invincible gorilla army led by Ruthless General Thade.",11.637791,1680,"2001-07-25","Released"
"75",14500000,147298761,"Romeo + Juliet","In director Baz Luhrmann's contemporary take on William Shakespeare's classic tragedy, the Montagues and Capulets have moved their ongoing feud to the sweltering suburb of Verona Beach, where Romeo and Juliet fall in love and secretly wed. Though the film is visually modern, the bard's dialogue remains.",12.103796,1893,"1996-11-01","Released"
"76",43000000,158674180,"The Heat","Uptight and straight-laced, FBI Special Agent Sarah Ashburn is a methodical investigator with a reputation for excellence--and hyper-arrogance. Shannon Mullins, one of Boston P.D.'s ""finest,"" is foul-mouthed and has a very short fuse, and uses her gut instinct and street smarts to catch the most elusive criminals. Neither has ever had a partner, or a friend for that matter. When these two wildly incompatible law officers join forces to bring down a ruthless drug lord, they become the last thing anyone expected: Buddies.",11.695824,1902,"2013-06-27","Released"
"77",1200000,0,"The Day the Earth Stood Still","An alien and a robot land on earth after World War II and tell mankind to be peaceful or face destruction. A classic science fiction film from Robert Wise with an exceptional message.",16.246927,396,"1951-09-17","Released"
"78",0,0,"The Predator","From the outer reaches of space to the small-town streets of suburbia, the hunt comes home. Now, the universe’s most lethal hunters are stronger, smarter and deadlier than ever before, having genetically upgraded themselves with DNA from other species. When a young boy accidentally triggers their return to Earth, only a ragtag crew of ex-soldiers and a disgruntled science teacher can prevent the end of the human race.",9.770603,11,"2018-08-02","Post Production"
"79",90000000,429632142,"Cast Away","Chuck, a top international manager for FedEx, and Kelly, a Ph.D. student, are in love and heading towards marriage. Then Chuck's plane to Malaysia ditches at sea during a terrible storm. He's the only survivor, and he washes up on a tiny island with nothing but some flotsam and jetsam from the aircraft's cargo.",12.920936,4377,"2000-12-22","Released"
"80",35000000,1.7e+08,"What Happens in Vegas","During a wild vacation in Las Vegas, career woman Joy McNally and playboy Jack Fuller come to the sober realization that they have married each other after a night of drunken abandon. They are then compelled, for legal reasons, to live life as a couple for a limited period of time. At stake is a large amount of money.",9.427396,1297,"2008-05-07","Released"
"81",40000000,126248813,"Predators","A mercenary reluctantly leads a motley crew of warriors who soon come to realize they've been captured and deposited on an alien planet by an unknown nemesis. With the exception of a peculiar physician, they are all cold-blooded killers, convicts, death squad members... hunters who have now become the hunted.",11.566234,1500,"2010-07-03","Released"
"82",69000000,37519974,"Abraham Lincoln: Vampire Hunter","President Lincoln's mother is killed by a supernatural creature, which fuels his passion to crush vampires and their slave-owning helpers.",11.541343,1600,"2012-06-20","Released"
"83",78000000,179179718,"Daredevil","He dwells in a world of eternal night, but the blackness is filled with sounds and scents, tastes and textures that most cannot perceive. Although attorney Matt Murdock is blind, his other four senses function with superhuman sharpness. By day, Murdock represents the downtrodden. At night he is Daredevil, a masked vigilante stalking the dark streets of the city, a relentless avenger of justice.",11.508832,2131,"2003-02-14","Released"
"84",24000000,99965753,"Hitman","The best-selling videogame, Hitman, roars to life with both barrels blazing in this hardcore action-thriller starring Timothy Olyphant. A genetically engineered assassin with deadly aim, known only as ""Agent 47"" eliminates strategic targets for a top-secret organization. But when he's double-crossed, the hunter becomes the prey as 47 finds himself in a life-or-death game of international intrigue.",11.466427,1217,"2007-11-21","Released"
"85",23000000,369884651,"There's Something About Mary","Having never fully recovered from a prom date that became a total disaster, a man finally gets a chance to reunite with his old prom date, only to run up against other suitors including the sleazy detective he hired to find her.",11.230171,2149,"1998-07-15","Released"
"86",30000000,350448145,"Speed","Los Angeles SWAT cop Jack Traven is up against bomb expert Howard Payne, who's after major ransom money. First it's a rigged elevator in a very tall building. Then it's a rigged bus--if it slows, it will blow, bad enough any day, but a nightmare in LA traffic. And that's still not the end.",11.200436,2335,"1994-06-09","Released"
"87",10000000,10827810,"Office Space","Three office workers strike back at their evil employers by hatching a hapless attempt to embezzle money.",10.469996,1298,"1999-02-19","Released"
"88",117000000,261930431,"Knight and Day","A fugitive couple goes on a glamorous and sometimes deadly adventure where nothing and no one – even themselves – are what they seem. Amid shifting alliances and unexpected betrayals, they race across the globe, with their survival ultimately hinging on the battle of truth vs. trust.",9.547432,1988,"2010-06-15","Released"
"89",12000000,89800000,"Patton","""Patton"" tells the tale of General George S. Patton, famous tank commander of World War II. The film begins with patton's career in North Africa and progresses through the invasion of Germany and the fall of the Third Reich. Side plots also speak of Patton's numerous faults such his temper and habit towards insubordination.",12.090673,418,"1970-01-25","Released"
"90",30000000,495303,"Idiocracy","To test its top-secret Human Hibernation Project, the Pentagon picks the most average Americans it can find - an Army private and a prostitute - and sends them to the year 2505 after a series of freak events. But when they arrive, they find a civilization so dumbed-down that they're the smartest people around.",10.983338,881,"2006-09-01","Released"
"91",15000000,1.45e+08,"Chronicle","Three high school students make an incredible discovery, leading to their developing uncanny powers beyond their understanding. As they learn to control their abilities and use them to their advantage, their lives start to spin out of control, and their darker sides begin to take over.",12.03645,2458,"2012-02-01","Released"
"92",20000000,22165608,"The Marine","A group of diamond thieves on the run kidnap the wife of a recently discharged marine who goes on a chase through the South Carolinian wilderness to retrieve her.",9.17896,212,"2006-10-13","Released"
"93",51000000,149270999,"Me, Myself & Irene","Rhode Island State Trooper Charlie Baileygates has a multiple personality disorder. One personality is crazy and aggressive, while the other is more friendly and laid back. Both of these personalities fall in love with the same woman named Irene after Charlie loses his medication.",10.684281,1309,"2000-06-22","Released"
"94",20000000,35739755,"Robin Hood: Men in Tights","Robin Hood comes home after fighting in the Crusades to learn that the noble King Richard is in exile and that the despotic King John now rules England, with the help of the Sheriff of Rottingham. Robin Hood assembles a band of fellow patriots to do battle with King John and the Sheriff.",12.643612,759,"1993-07-28","Released"
"95",32000000,79082515,"Home Alone 3","9-year-old Alex Pruitt is home alone with the chicken pox. Turns out, due to a mix-up among nefarious spies, Alex was given a toy car concealing a top-secret microchip. Now Alex must fend off the spies as they try break into his house to get it back.",10.650849,939,"1997-12-12","Released"
"96",25000000,441286195,"Mrs. Doubtfire","Loving but irresponsible dad Daniel Hillard, estranged from his exasperated spouse, is crushed by a court order allowing only weekly visits with his kids. When Daniel learns his ex needs a housekeeper, he gets the job -- disguised as an English nanny. Soon he becomes not only his children's best pal but the kind of parent he should have been from the start.",10.62598,2336,"1993-11-24","Released"
"97",80000000,233093859,"The Day the Earth Stood Still","A representative of an alien race that went through drastic evolution to survive its own climate change, Klaatu comes to Earth to assess whether humanity can prevent the environmental damage they have inflicted on their own planet. When barred from speaking to the United Nations, he decides humankind shall be exterminated so the planet can survive.",10.599187,1372,"2008-12-10","Released"
